subj,is.analysis.group,roi,model,y,param,coef,beta,partr
DMCC6904377,FALSE,orig_premotor.R,tdi,rank,distractor,0.451977401129923,0.00521964251180556,0.00514883347284299
DMCC6904377,FALSE,orig_premotor.R,tdi,rank,incongruency,10.3820621468927,0.149119786606659,0.150014030987751
DMCC7297690,TRUE,orig_premotor.R,tdi,rank,target,13.874659503632,0.162037018385104,0.156854435121299
DMCC7297690,TRUE,orig_premotor.R,tdi,rank,distractor,-1.39542978208235,-0.016296708484645,-0.0159711585987952
DMCC7297690,TRUE,orig_premotor.R,tdi,rank,incongruency,1.99591404358355,0.0289908770101841,0.029297605296928
DMCC7921988,TRUE,orig_premotor.R,tdi,rank,target,6.82552083333332,0.0789471511682139,0.0764317738592998
DMCC7921988,TRUE,orig_premotor.R,tdi,rank,distractor,6.78124999999998,0.0784350941022619,0.0759388997987213
DMCC7921988,TRUE,orig_premotor.R,tdi,rank,incongruency,2.23958333333335,0.0322177719871463,0.0322511028726515
DMCC8033964,TRUE,orig_premotor.R,tdi,rank,target,30.5838251614205,0.35628749376677,0.354757506193437
DMCC8033964,TRUE,orig_premotor.R,tdi,rank,distractor,0.862843018563366,0.0100517242357857,0.0107042054198566
DMCC8033964,TRUE,orig_premotor.R,tdi,rank,incongruency,17.005901937046,0.246397363607443,0.261268587860197
DMCC8050964,TRUE,orig_premotor.R,tdi,rank,target,3.52629388619854,0.040733360569313,0.0413529429145555
DMCC8050964,TRUE,orig_premotor.R,tdi,rank,distractor,0.9526331719128,0.0110041737115807,0.0111804202032996
DMCC8050964,TRUE,orig_premotor.R,tdi,rank,incongruency,-21.1844733656174,-0.304352602588732,-0.303898367878542
DMCC8078683,FALSE,orig_premotor.R,tdi,rank,target,2.25774944511703,0.0261688182611955,0.025336692149629
DMCC8078683,FALSE,orig_premotor.R,tdi,rank,distractor,-4.16003329297821,-0.0482175537413659,-0.0466484667864509
DMCC8078683,FALSE,orig_premotor.R,tdi,rank,incongruency,-2.40700665859564,-0.034698705175608,-0.0346436034595507
DMCC9441378,TRUE,orig_premotor.R,tdi,rank,target,-9.19035008071023,-0.10629112623827,-0.104447356070392
DMCC9441378,TRUE,orig_premotor.R,tdi,rank,distractor,-11.0876715092817,-0.128234624549846,-0.125698282631591
DMCC9441378,TRUE,orig_premotor.R,tdi,rank,incongruency,9.71579903147701,0.139756201136152,0.141012432113285
DMCC9478705,TRUE,orig_premotor.R,tdi,rank,target,-1.73452633171913,-0.0200326438748112,-0.0194395361950603
DMCC9478705,TRUE,orig_premotor.R,tdi,rank,distractor,-8.48824656981436,-0.0980336922796366,-0.0947213752492399
DMCC9478705,TRUE,orig_premotor.R,tdi,rank,incongruency,-0.480982647296212,-0.00690898726181691,-0.00691670132947526
DMCC9953810,TRUE,orig_premotor.R,tdi,rank,target,-1.3764817897498,-0.0159012314023718,-0.0172216526358781
DMCC9953810,TRUE,orig_premotor.R,tdi,rank,distractor,13.8277592816788,0.159739418095923,0.170496225854824
DMCC9953810,TRUE,orig_premotor.R,tdi,rank,incongruency,29.8155518563358,0.428381542081279,0.431730198667289
107321,TRUE,orig_vvis.L,tdi,rank,target,-1.48588201170298,-0.0171585322345681,-0.0176390155642251
107321,TRUE,orig_vvis.L,tdi,rank,distractor,-3.81958736884586,-0.0441074812635872,-0.0453030993597185
107321,TRUE,orig_vvis.L,tdi,rank,incongruency,-23.8305841404358,-0.342261546313162,-0.341199827159046
115825,FALSE,orig_vvis.L,tdi,rank,target,3.15590319814366,0.0364503333566601,0.0357040949290684
115825,FALSE,orig_vvis.L,tdi,rank,distractor,11.4375252219532,0.132102152993992,0.128408298371759
115825,FALSE,orig_vvis.L,tdi,rank,incongruency,8.20417171105733,0.117852875335959,0.118314465086774
123117,TRUE,orig_vvis.L,tdi,rank,target,4.53920122074253,0.0524467487276447,0.0518998547413818
123117,TRUE,orig_vvis.L,tdi,rank,distractor,2.6437399112187,0.0305462472541043,0.0302546598680271
123117,TRUE,orig_vvis.L,tdi,rank,incongruency,-14.6962520177563,-0.211189993355966,-0.211000017933081
130114,TRUE,orig_vvis.L,tdi,rank,target,-2.09347886400325,-0.0242549276370194,-0.0237698891529551
130114,TRUE,orig_vvis.L,tdi,rank,distractor,0.682934826472939,0.00791244424853047,0.00775617317387007
130114,TRUE,orig_vvis.L,tdi,rank,incongruency,-11.6217463680387,-0.167467449530389,-0.166957793999215
130518,FALSE,orig_vvis.L,tdi,rank,target,10.6167650322841,0.122808804204978,0.118762296604495
130518,FALSE,orig_vvis.L,tdi,rank,distractor,0.214235270379338,0.00247815387208904,0.00241357413263887
130518,FALSE,orig_vvis.L,tdi,rank,incongruency,2.56784705407587,0.0369431616229392,0.0370880601362118
132017,TRUE,orig_vvis.L,tdi,rank,target,7.30138342413235,0.0843587501432535,0.0815637623159587
132017,TRUE,orig_vvis.L,tdi,rank,distractor,2.24967211460853,0.0259922697927701,0.0252070911602415
132017,TRUE,orig_vvis.L,tdi,rank,incongruency,2.94993442292174,0.0423901499762858,0.0423795617348446
138837,TRUE,orig_vvis.L,tdi,rank,target,16.5580231033091,0.191759604171271,0.186696991546528
138837,TRUE,orig_vvis.L,tdi,rank,distractor,12.5230528652139,0.145030336379311,0.14226656367301
138837,TRUE,orig_vvis.L,tdi,rank,incongruency,-4.13705609362389,-0.0595892144272341,-0.0608012943943141
141422,TRUE,orig_vvis.L,tdi,rank,target,0.167234160613408,0.00193364849878281,0.00191211619994918
141422,TRUE,orig_vvis.L,tdi,rank,distractor,-7.59095036319613,-0.087770523201063,-0.0864682312169416
141422,TRUE,orig_vvis.L,tdi,rank,incongruency,13.1734765940275,0.189443866968011,0.189724310763545
150423,TRUE,orig_vvis.L,tdi,rank,target,5.78607369854721,0.066818253870803,0.0645618370339359
150423,TRUE,orig_vvis.L,tdi,rank,distractor,1.8310885794996,0.021145624466493,0.0204699732685829
150423,TRUE,orig_vvis.L,tdi,rank,incongruency,0.766217715899921,0.011005023155468,0.0109905092144475
158136,TRUE,orig_vvis.L,tdi,rank,target,6.83080483252622,0.0789353763831993,0.0795477971139643
158136,TRUE,orig_vvis.L,tdi,rank,distractor,7.97328995157383,0.0921376995493961,0.0927462434567362
158136,TRUE,orig_vvis.L,tdi,rank,incongruency,-18.5303420096853,-0.266324335744915,-0.267594427104332
160830,TRUE,orig_vvis.L,tdi,rank,target,-7.92559523809523,-0.0915370984760636,-0.0913588268592403
160830,TRUE,orig_vvis.L,tdi,rank,distractor,-5.36904761904763,-0.0620101110217121,-0.0620295699626
160830,TRUE,orig_vvis.L,tdi,rank,incongruency,-17.7738095238095,-0.255313268265532,-0.255204237851397
161832,TRUE,orig_vvis.L,tdi,rank,target,3.44853460451976,0.0400273920402521,0.0388350502762048
161832,TRUE,orig_vvis.L,tdi,rank,distractor,-2.50459039548024,-0.0290709629327029,-0.02821504824005
161832,TRUE,orig_vvis.L,tdi,rank,incongruency,5.71574858757063,0.0825132008432425,0.0823578839545048
165032,TRUE,orig_vvis.L,tdi,rank,target,-4.93196378127521,-0.0570204050026999,-0.0555880841643402
165032,TRUE,orig_vvis.L,tdi,rank,distractor,0.373839790153359,0.0043221112696729,0.00422002978582835
165032,TRUE,orig_vvis.L,tdi,rank,incongruency,8.98310129136401,0.129170793085901,0.129005672824756
171330,TRUE,orig_vvis.L,tdi,rank,target,-4.7136614709443,-0.0544328490606962,-0.0526829022478934
171330,TRUE,orig_vvis.L,tdi,rank,distractor,-6.19468825665861,-0.0715355850078079,-0.0691660498737038
171330,TRUE,orig_vvis.L,tdi,rank,incongruency,-1.06393765133171,-0.0152808131734156,-0.0152747202698634
178243,TRUE,orig_vvis.L,tdi,rank,target,2.59869980831315,0.0301232005059182,0.0291334193877871
178243,TRUE,orig_vvis.L,tdi,rank,distractor,-2.786344834544,-0.0322983146653175,-0.0312350808176481
178243,TRUE,orig_vvis.L,tdi,rank,incongruency,-1.31560230024214,-0.0189669383518957,-0.0189260283311879
178647,FALSE,orig_vvis.L,tdi,rank,target,10.5803949757869,0.122628689405908,0.121178950288183
178647,FALSE,orig_vvis.L,tdi,rank,distractor,-2.88463478611785,-0.0334334383589506,-0.0332650383709864
178647,FALSE,orig_vvis.L,tdi,rank,incongruency,-13.5352602905569,-0.195112201127147,-0.196449498957965
178950,TRUE,orig_vvis.L,tdi,rank,target,7.77692443502824,0.0898053530564927,0.0881645675878793
178950,TRUE,orig_vvis.L,tdi,rank,distractor,5.82379943502821,0.0672513110757791,0.0661355886357009
178950,TRUE,orig_vvis.L,tdi,rank,incongruency,12.4897598870057,0.179380836529676,0.179400630026767
182436,TRUE,orig_vvis.L,tdi,rank,target,5.56709670096851,0.0643559680140794,0.0652850245049407
182436,TRUE,orig_vvis.L,tdi,rank,distractor,1.35913539144469,0.0157116857272124,0.0159705408617866
182436,TRUE,orig_vvis.L,tdi,rank,incongruency,21.471827078289,0.308714247639265,0.307987435061425
197449,TRUE,orig_vvis.L,tdi,rank,target,7.40753001412428,0.0856476149704688,0.0831302520358102
197449,TRUE,orig_vvis.L,tdi,rank,distractor,-4.42319915254235,-0.0511420753250148,-0.0497496345766849
197449,TRUE,orig_vvis.L,tdi,rank,incongruency,4.39036016949153,0.0631349169915836,0.063301313265961
203418,TRUE,orig_vvis.L,tdi,rank,target,5.42162278046811,0.062612233303058,0.062318569496668
203418,TRUE,orig_vvis.L,tdi,rank,distractor,6.21403349475384,0.0717634794379682,0.0713834281593975
203418,TRUE,orig_vvis.L,tdi,rank,incongruency,16.7261400322841,0.24024437945431,0.239910535886011
204319,TRUE,orig_vvis.L,tdi,rank,target,5.84279156577884,0.0674702179954184,0.0652212787840986
204319,TRUE,orig_vvis.L,tdi,rank,distractor,-0.849172719935427,-0.00980590662610247,-0.00949885002175859
204319,TRUE,orig_vvis.L,tdi,rank,incongruency,-0.886501210653731,-0.0127320596026639,-0.0127213062054732
233326,FALSE,orig_vvis.L,tdi,rank,target,19.2475913034705,0.223364535683858,0.21584549883816
233326,FALSE,orig_vvis.L,tdi,rank,distractor,6.14714487489909,0.0713364149890108,0.0704239552170126
233326,FALSE,orig_vvis.L,tdi,rank,incongruency,0.4710956416465,0.0067994616422549,0.00694093766575976
300618,TRUE,orig_vvis.L,tdi,rank,target,8.23005574051654,0.0950884477021951,0.0976120818566054
300618,TRUE,orig_vvis.L,tdi,rank,distractor,2.17834443099273,0.0251681637445167,0.0259513515649526
300618,TRUE,orig_vvis.L,tdi,rank,incongruency,23.9273355528653,0.343832505135586,0.343553335346648
317332,TRUE,orig_vvis.L,tdi,rank,target,4.52683615819208,0.0523496208189444,0.0513361100153102
317332,TRUE,orig_vvis.L,tdi,rank,distractor,4.65183615819209,0.0537951563704194,0.052749767853488
317332,TRUE,orig_vvis.L,tdi,rank,incongruency,-11.1779661016949,-0.160771536631308,-0.160721502463742
346945,TRUE,orig_vvis.L,tdi,rank,target,16.3451813458434,0.188861501618883,0.187389128586235
346945,TRUE,orig_vvis.L,tdi,rank,distractor,-2.45578591606133,-0.0283755442015819,-0.0286502877556539
346945,TRUE,orig_vvis.L,tdi,rank,incongruency,15.4755094834544,0.222395636068107,0.225734451947746
352738,TRUE,orig_vvis.L,tdi,rank,target,-0.801547366828089,-0.00931788194921557,-0.00908852968907001
352738,TRUE,orig_vvis.L,tdi,rank,distractor,-5.30117534301859,-0.0616254610551716,-0.0600027744513736
352738,TRUE,orig_vvis.L,tdi,rank,incongruency,-8.78523506860371,-0.127019093512242,-0.126768322876928
393550,FALSE,orig_vvis.L,tdi,rank,target,0.845912782485869,0.00977751690738715,0.00960842122844731
393550,FALSE,orig_vvis.L,tdi,rank,distractor,6.92143361581917,0.080001668733692,0.0783798477719706
393550,FALSE,orig_vvis.L,tdi,rank,incongruency,-11.1823799435028,-0.160755130574092,-0.160835732521222
448347,TRUE,orig_vvis.L,tdi,rank,target,-2.80253732849072,-0.0324200464897222,-0.0336023870405826
448347,TRUE,orig_vvis.L,tdi,rank,distractor,12.3894269572235,0.143322193731678,0.147017936064156
448347,TRUE,orig_vvis.L,tdi,rank,incongruency,-22.463781275222,-0.323201002748682,-0.326754683870014
580650,TRUE,orig_vvis.L,tdi,rank,target,-1.77964210048428,-0.020609398358516,-0.0201117365252489
580650,TRUE,orig_vvis.L,tdi,rank,distractor,-3.19519269572237,-0.0370023832772015,-0.036092648060169
580650,TRUE,orig_vvis.L,tdi,rank,incongruency,-9.68903853914449,-0.139553565300286,-0.139134086103237
594156,TRUE,orig_vvis.L,tdi,rank,target,1.01650146287329,0.0117771284195194,0.0132361311948032
594156,TRUE,orig_vvis.L,tdi,rank,distractor,-1.96824556093624,-0.0228039816753173,-0.0256228699020983
594156,TRUE,orig_vvis.L,tdi,rank,incongruency,35.3646842211461,0.509599270403145,0.508671264748537
601127,TRUE,orig_vvis.L,tdi,rank,target,6.1245712267958,0.0707240967178496,0.071287783595397
601127,TRUE,orig_vvis.L,tdi,rank,distractor,-5.40072639225184,-0.0623654263405623,-0.0628980482139765
601127,TRUE,orig_vvis.L,tdi,rank,incongruency,-19.0051452784504,-0.272954666654174,-0.273657260797771
765864,TRUE,orig_vvis.L,tdi,rank,target,9.88989986884583,0.114592940872428,0.114895472064116
765864,TRUE,orig_vvis.L,tdi,rank,distractor,1.97732546408395,0.0229110044587097,0.0231184510811068
765864,TRUE,orig_vvis.L,tdi,rank,incongruency,19.0121317594835,0.273983491825437,0.274305256776772
814649,TRUE,orig_vvis.L,tdi,rank,target,1.13670929176755,0.0131277063306056,0.0132835867013037
814649,TRUE,orig_vvis.L,tdi,rank,distractor,9.86922417271993,0.113978373880378,0.114582277473236
814649,TRUE,orig_vvis.L,tdi,rank,incongruency,19.6405115012107,0.282110887476846,0.28248274544849
843151,TRUE,orig_vvis.L,tdi,rank,target,-0.484103864003236,-0.00586840352888681,-0.00572480091704474
843151,TRUE,orig_vvis.L,tdi,rank,distractor,1.74543482647296,0.0211585088588504,0.0206366926643382
843151,TRUE,orig_vvis.L,tdi,rank,incongruency,-8.9759130347054,-0.13532800108857,-0.134930659640057
849971,TRUE,orig_vvis.L,tdi,rank,target,-0.0780682506053295,-0.000903289887084814,-0.000882784374286285
849971,TRUE,orig_vvis.L,tdi,rank,distractor,8.19090496368038,0.094772991099399,0.092226841824478
849971,TRUE,orig_vvis.L,tdi,rank,incongruency,-7.77015234059725,-0.1118175170586,-0.112011122166355
873968,TRUE,orig_vvis.L,tdi,rank,target,10.7404976291364,0.124273092011543,0.120628800166231
873968,TRUE,orig_vvis.L,tdi,rank,distractor,-2.86180891848263,-0.0331126038407446,-0.0323610574539184
873968,TRUE,orig_vvis.L,tdi,rank,incongruency,-4.61402845036322,-0.0663988532453528,-0.066820705380189
877168,TRUE,orig_vvis.L,tdi,rank,target,-6.84443099273607,-0.0790943017823145,-0.0774889148339212
877168,TRUE,orig_vvis.L,tdi,rank,distractor,-6.87419289749799,-0.0794382306025997,-0.0778238265368838
877168,TRUE,orig_vvis.L,tdi,rank,incongruency,-11.2998385794996,-0.162408104360135,-0.162431060173846
DMCC1328342,FALSE,orig_vvis.L,tdi,rank,target,8.60644925343016,0.09953267302464,0.0967718353252996
DMCC1328342,FALSE,orig_vvis.L,tdi,rank,distractor,11.3036218724778,0.130725188367211,0.126669853711331
DMCC1328342,FALSE,orig_vvis.L,tdi,rank,incongruency,-1.72260895883776,-0.0247774134071912,-0.0249581510213354
DMCC1596165,FALSE,orig_vvis.L,tdi,rank,target,-5.55504060734462,-0.0642286940688714,-0.0625153749221729
DMCC1596165,FALSE,orig_vvis.L,tdi,rank,distractor,-2.80243644067797,-0.0324024333067481,-0.0315841330282942
DMCC1596165,FALSE,orig_vvis.L,tdi,rank,incongruency,-8.66048728813561,-0.124540840599515,-0.124309248841151
DMCC1971064,TRUE,orig_vvis.L,tdi,rank,target,-1.12556118845842,-0.0130194936484545,-0.0129155158302688
DMCC1971064,TRUE,orig_vvis.L,tdi,rank,distractor,-10.7836713075061,-0.124735946419213,-0.122813273888765
DMCC1971064,TRUE,orig_vvis.L,tdi,rank,incongruency,12.8265990718321,0.184528781924865,0.18555598665619
DMCC2442951,TRUE,orig_vvis.L,tdi,rank,target,0.749148759079898,0.00869759554802546,0.0084074630458791
DMCC2442951,TRUE,orig_vvis.L,tdi,rank,distractor,-2.30107445520581,-0.0267154082479609,-0.0258165466219661
DMCC2442951,TRUE,orig_vvis.L,tdi,rank,incongruency,-0.676881557707817,-0.00977397976862833,-0.00974534541539456
