subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
DMCC5775387,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.00902116814338705,0.019070224335056
DMCC5775387,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.0188014416157828,0.0397451531482953
DMCC5775387,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.025330873604551,-0.0665994745208273
DMCC6371570,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.015228613427257,0.0394925404205121
DMCC6371570,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.040740674923295,0.105653266389137
DMCC6371570,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0116836043512781,-0.0376841879348908
DMCC6418065,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0326555909124038,0.0765040029079103
DMCC6418065,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.00812166200056106,0.019027052824575
DMCC6418065,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0555278528339992,-0.161795002518931
DMCC6484785,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.00333805054577035,0.00903730096781521
DMCC6484785,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0247240192555827,0.0669367944202892
DMCC6484785,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0644890726804731,-0.21714987290433
DMCC6661074,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0137806195440639,0.0433230678316076
DMCC6661074,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0136748292374897,-0.0429904876734373
DMCC6661074,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.00878705894473314,-0.0343575043257828
DMCC6671683,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0253349964987118,0.104431060327979
DMCC6671683,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.00815367969979701,-0.0336095336215184
DMCC6671683,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0445444577100553,0.228365306143735
DMCC6705371,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0246802228747139,0.0577523875545476
DMCC6705371,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.0186781280002967,0.043707323574123
DMCC6705371,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0532301519033396,0.154919533930852
DMCC6721369,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.0129437172346435,-0.0261180839584273
