subj,is.analysis.group,roi,param,taua
DMCC4260551,FALSE,vwfa,silhou,0.0840336134453782
DMCC4854075,TRUE,vwfa,silhou,0.0689075630252101
DMCC5009144,TRUE,vwfa,silhou,0.00812324929971989
DMCC5195268,FALSE,vwfa,silhou,0.0176470588235294
DMCC5775387,FALSE,vwfa,silhou,0.0302521008403361
DMCC6371570,FALSE,vwfa,silhou,0.115966386554622
DMCC6418065,TRUE,vwfa,silhou,0.100560224089636
DMCC6484785,TRUE,vwfa,silhou,-0.00812324929971989
DMCC6661074,TRUE,vwfa,silhou,0.105602240896359
DMCC6671683,TRUE,vwfa,silhou,-0.00364145658263305
DMCC6705371,FALSE,vwfa,silhou,0.135294117647059
DMCC6721369,TRUE,vwfa,silhou,-0.0305322128851541
DMCC6904377,FALSE,vwfa,silhou,0.0218487394957983
DMCC7297690,TRUE,vwfa,silhou,-0.0179271708683473
DMCC7921988,TRUE,vwfa,silhou,-0.0218487394957983
DMCC8033964,TRUE,vwfa,silhou,-0.0434173669467787
DMCC8050964,TRUE,vwfa,silhou,-0.00476190476190476
DMCC8078683,FALSE,vwfa,silhou,0.0310924369747899
DMCC9441378,TRUE,vwfa,silhou,-0.0394957983193277
DMCC9478705,TRUE,vwfa,silhou,-0.011484593837535
DMCC9953810,TRUE,vwfa,silhou,-0.0375350140056022
107321,TRUE,vwfa,orthog,0.127731092436975
115825,FALSE,vwfa,orthog,-0.0803921568627451
123117,TRUE,vwfa,orthog,0.0170868347338936
130114,TRUE,vwfa,orthog,-0.0198879551820728
130518,FALSE,vwfa,orthog,0.0324929971988796
132017,TRUE,vwfa,orthog,0.053781512605042
138837,TRUE,vwfa,orthog,0.0495798319327731
141422,TRUE,vwfa,orthog,-0.0966386554621849
150423,TRUE,vwfa,orthog,0.0428571428571429
158136,TRUE,vwfa,orthog,0.096358543417367
160830,TRUE,vwfa,orthog,0.0369747899159664
161832,TRUE,vwfa,orthog,-0.0610644257703081
165032,TRUE,vwfa,orthog,-0.0061624649859944
171330,TRUE,vwfa,orthog,0.0128851540616246
178243,TRUE,vwfa,orthog,0.00644257703081232
178647,FALSE,vwfa,orthog,0.0190476190476191
178950,TRUE,vwfa,orthog,-0.000560224089635854
182436,TRUE,vwfa,orthog,-0.0397759103641457
197449,TRUE,vwfa,orthog,0.0333333333333333
203418,TRUE,vwfa,orthog,-0.065266106442577
204319,TRUE,vwfa,orthog,0.0170868347338936
233326,FALSE,vwfa,orthog,-0.0372549019607843
300618,TRUE,vwfa,orthog,0.0420168067226891
