subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
DMCC4260551,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0415248337603037,0.145826933940158
DMCC4854075,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.028626731263249,0.073410647805859
DMCC4854075,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00185898378244752,0.00476719477592833
DMCC4854075,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0608503140024491,0.191115428549088
DMCC5009144,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.0350387310290706,-0.0770081896354333
DMCC5009144,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0812194036432412,-0.178504159658245
DMCC5009144,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0454773676937467,-0.122413550120118
DMCC5195268,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0841514099510491,0.363443872507467
DMCC5195268,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0056010752724936,0.0241906402807166
DMCC5195268,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00201842334279241,0.0106766214319987
DMCC5775387,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.00889491515079348,0.01880333285787
DMCC5775387,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0186751886231892,0.0394782616711093
DMCC5775387,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0134229547578369,-0.0347525582762449
DMCC6371570,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0132012746685793,0.0342350192249288
DMCC6371570,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0387133361646174,0.100395745193554
DMCC6371570,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.018005834727705,-0.0571891442401436
DMCC6418065,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0298761756107314,0.069992517726343
DMCC6418065,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00534224669888861,0.0125155676430076
DMCC6418065,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0444404182270345,-0.127511800859842
DMCC6484785,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.00208012034762836,0.00563163240730834
DMCC6484785,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0234660890574407,0.0635311258597823
DMCC6484785,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0397921175290886,-0.131943657105908
DMCC6661074,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0153258214993325,0.0481808239656902
DMCC6661074,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0121296272822211,-0.0381327315393547
DMCC6661074,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00487768225924536,0.0187806057349749
DMCC6671683,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.026811095290113,0.110515551476131
DMCC6671683,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00667758090839583,-0.0275250424733663
DMCC6671683,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0311288216034349,0.157151000057097
DMCC6705371,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0266389930001347,0.0623359625079761
DMCC6705371,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0206368981257175,0.0482908985275515
DMCC6705371,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0383676967041945,0.10995936515459
DMCC6721369,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.0148595223100537,-0.0299838326379196
DMCC6721369,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0138810409065048,-0.028009433863103
DMCC6721369,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0213493134289433,-0.0527608567791389
DMCC6904377,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0902786221333908,0.216196892798474
DMCC6904377,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0375814461824272,0.0899990684340401
DMCC6904377,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0384789805125055,0.112858354121874
DMCC7297690,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0611238580818845,0.205375153438471
DMCC7297690,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00956213324835638,-0.0321286097557752
DMCC7297690,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0427329187110026,0.175851196820197
DMCC7921988,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0357702038380435,0.0792561870976083
DMCC7921988,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0250997669465503,0.0556136563892438
DMCC7921988,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00531551151084557,0.0144245559539931
DMCC8033964,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.066911994466559,0.25088867266567
DMCC8033964,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00644696067608472,0.0241730861506326
DMCC8033964,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0117806628633288,0.0540993984150829
DMCC8050964,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0591020706871941,0.123686456015956
DMCC8050964,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0156527998652854,-0.0327575551846723
DMCC8050964,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0599387371441653,-0.153628810130292
DMCC8078683,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0384865600580563,0.0716620802240731
DMCC8078683,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0364782401782166,-0.0679225831080001
DMCC8078683,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0325962743276625,-0.0743350964121477
DMCC9441378,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0125390388395898,0.0278637998211399
