subj,is.analysis.group,roi.hemi,roi,hemi,param,taua
DMCC2803654,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.0403361344537815
DMCC2834766,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.0274509803921569
DMCC3062542,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.00700280112044818
DMCC4191255,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.00980392156862745
DMCC4260551,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.0235294117647059
DMCC4854075,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.00812324929971989
DMCC5009144,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.000560224089635854
DMCC5195268,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.038655462184874
DMCC5775387,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.030812324929972
DMCC6371570,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.0448179271708684
DMCC6418065,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0137254901960784
DMCC6484785,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.00252100840336135
DMCC6661074,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.00644257703081232
DMCC6671683,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0182072829131653
DMCC6705371,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.00560224089635854
DMCC6721369,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.00672268907563025
DMCC6904377,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.0212885154061625
DMCC7297690,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0280112044817927
DMCC7921988,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0145658263305322
DMCC8033964,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0246498599439776
DMCC8050964,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0274509803921569
DMCC8078683,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.00700280112044818
DMCC9441378,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.00756302521008403
