roi,subj,n.silent
10v_R,115825,
a10p_R,115825,
10pp_R,115825,
11l_R,115825,
13l_R,115825,
OFC_R,115825,
47s_R,115825,
LIPd_R,115825,
6a_R,115825,
i6-8_R,115825,
s6-8_R,115825,
43_R,115825,
OP4_R,115825,
OP1_R,115825,
OP2-3_R,115825,
52_R,115825,
RI_R,115825,
PFcm_R,115825,
PoI2_R,115825,
TA2_R,115825,
FOP4_R,115825,
MI_R,115825,
Pir_R,115825,
AVI_R,115825,
AAIC_R,115825,
FOP1_R,115825,
FOP3_R,115825,
FOP2_R,115825,
PFt_R,115825,
AIP_R,115825,
EC_R,115825,
PreS_R,115825,
H_R,115825,
ProS_R,115825,
PeEc_R,115825,
STGa_R,115825,
PBelt_R,115825,
A5_R,115825,
PHA1_R,115825,
PHA3_R,115825,
STSda_R,115825,
STSdp_R,115825,
STSvp_R,115825,
TGd_R,115825,
TE1a_R,115825,
TE1p_R,115825,
TE2a_R,115825,
TF_R,115825,
TE2p_R,115825,
PHT_R,115825,
PH_R,115825,
TPOJ1_R,115825,
TPOJ2_R,115825,
TPOJ3_R,115825,
DVT_R,115825,
PGp_R,115825,
IP2_R,115825,
IP1_R,115825,
IP0_R,115825,
PFop_R,115825,
PF_R,115825,
PFm_R,115825,
PGi_R,115825,
PGs_R,115825,
V6A_R,115825,
VMV1_R,115825,
VMV3_R,115825,
PHA2_R,115825,
V4t_R,115825,
FST_R,115825,
V3CD_R,115825,
LO3_R,115825,
VMV2_R,115825,
31pd_R,115825,
31a_R,115825,
VVC_R,115825,
25_R,115825,
s32_R,115825,
pOFC_R,115825,
PoI1_R,115825,
Ig_R,115825,
FOP5_R,115825,
p10p_R,115825,
p47r_R,115825,
TGv_R,115825,
MBelt_R,115825,
LBelt_R,115825,
A4_R,115825,
STSva_R,115825,
TE1m_R,115825,
PI_R,115825,
a32pr_R,115825,
p24_R,115825,
V1_L,115825,
MST_L,115825,
V6_L,115825,
V2_L,115825,
V3_L,115825,
V4_L,115825,
V8_L,115825,
4_L,115825,
3b_L,115825,
FEF_L,115825,
PEF_L,115825,
55b_L,115825,
V3A_L,115825,
RSC_L,115825,
POS2_L,115825,
V7_L,115825,
IPS1_L,115825,
FFC_L,115825,
V3B_L,115825,
LO1_L,115825,
LO2_L,115825,
PIT_L,115825,
MT_L,115825,
A1_L,115825,
PSL_L,115825,
SFL_L,115825,
PCV_L,115825,
STV_L,115825,
7Pm_L,115825,
7m_L,115825,
POS1_L,115825,
23d_L,115825,
v23ab_L,115825,
d23ab_L,115825,
31pv_L,115825,
5m_L,115825,
5mv_L,115825,
23c_L,115825,
5L_L,115825,
24dd_L,115825,
24dv_L,115825,
7AL_L,115825,
SCEF_L,115825,
6ma_L,115825,
7Am_L,115825,
7PL_L,115825,
7PC_L,115825,
LIPv_L,115825,
VIP_L,115825,
MIP_L,115825,
1_L,115825,
2_L,115825,
3a_L,115825,
6d_L,115825,
6mp_L,115825,
