"parcel","$\bar\beta$","v","p","network","md"
"8Ad\textunderscore R",0.0334856764868833,879,0.012349745543376,"Default",""
"AIP\textunderscore L",0.034612243098529,879,0.012349745543376,"Dorsal-Attention","penumbra"
"FST\textunderscore L",0.0327481723059754,878,0.0125111632740917,"Visual2",""
"SFL\textunderscore L",0.0357281059243916,878,0.0125111632740917,"Language",""
"a9-46v\textunderscore R",0.0410907265784128,877,0.0127926816031176,"Frontoparietal","core"
"STV\textunderscore L",0.0241355686594294,876,0.0130800442070415,"Language",""
"IP2\textunderscore R",0.0373783198629422,875,0.013254996995271,"Frontoparietal","core"
"IPS1\textunderscore R",0.0246948013483054,875,0.013254996995271,"Visual2",""
"10pp\textunderscore L",0.0321277941772024,874,0.0134348938124317,"Default",""
"8Ad\textunderscore L",0.029651412461858,874,0.0134348938124317,"Default",""
"FFC\textunderscore L",0.0295607909519875,872,0.01392653213925,"Visual2",""
"FST\textunderscore R",0.035078131909661,872,0.01392653213925,"Visual2",""
"PeEc\textunderscore L",0.0372683307735799,872,0.01392653213925,"Ventral-Multimodal",""
"OFC\textunderscore R",0.0323589609283161,871,0.0142395815191107,"Frontoparietal",""
"RI\textunderscore L",0.0379126839612411,870,0.0145589754513775,"Auditory",""
"PHT\textunderscore L",0.0268946293499076,869,0.0147628061669845,"Dorsal-Attention",""
"TE1a\textunderscore L",0.0339075171782407,869,0.0147628061669845,"Default",""
"a10p\textunderscore L",0.0295908026783968,868,0.0150934763758757,"Frontoparietal","penumbra"
"PGi\textunderscore R",0.0249135360715549,867,0.0154307643531814,"Default",""
"IFJp\textunderscore R",0.032696093359578,865,0.0162546040491088,"Frontoparietal","core"
"8Av\textunderscore R",0.0303937397649596,864,0.0163545748278537,"Default",""
"i6-8\textunderscore L",0.029314088167175,864,0.0163545748278537,"Frontoparietal","core"
"p47r\textunderscore L",0.0319981843316588,864,0.0163545748278537,"Frontoparietal","penumbra"
