param,roi,du,dl,p
incongruency,ProS_L,0.0115037692067723,0.00129957700199412,0.0115037692067723
incongruency,ProS_R,0.314438169939685,1.23042184991817e-05,0.314438169939685
incongruency,PSL_L,0.0537630450714311,1.77263905083436e-05,0.0537630450714311
incongruency,PSL_R,0.0454872536963169,0.000149203628165395,0.0454872536963169
incongruency,RI_L,0.184289112019297,4.33998205622288e-05,0.184289112019297
incongruency,RI_R,0.00922975698965623,0.00470697277992827,0.00922975698965623
incongruency,RSC_L,0.79943133504395,2.61259422984495e-08,0.79943133504395
incongruency,RSC_R,0.0357870797058322,0.00049335771700143,0.0357870797058322
incongruency,s32_L,0.0170630753577772,0.00121022689055295,0.0170630753577772
incongruency,s32_R,0.00355634939403693,0.0153964245852336,0.0153964245852336
incongruency,s6-8_L,0.238618736187124,2.6590321951403e-05,0.238618736187124
incongruency,s6-8_R,0.945125104382607,5.27535934935486e-08,0.945125104382607
incongruency,SCEF_L,0.634990855030521,6.60924269979546e-07,0.634990855030521
incongruency,SCEF_R,0.115489217151636,0.000149203628165395,0.115489217151636
incongruency,SFL_L,0.706293788279906,2.1541345702758e-06,0.706293788279906
incongruency,SFL_R,0.181656585230378,6.64154241025728e-05,0.181656585230378
incongruency,STGa_L,0.00197076248752914,0.00635526263057074,0.00635526263057074
incongruency,STGa_R,0.00378810221354442,0.0118190337288002,0.0118190337288002
incongruency,STSda_L,0.0111956928174717,0.00581495993879244,0.0111956928174717
incongruency,STSda_R,0.00429170219008235,0.0284819349656083,0.0284819349656083
incongruency,STSdp_L,0.0537630450714311,0.000193126561510937,0.0537630450714311
incongruency,STSdp_R,0.0445276387188542,0.000185070342453741,0.0445276387188542
incongruency,STSva_L,0.021901204544454,0.0128092683949443,0.021901204544454
incongruency,STSva_R,5.25267648665562e-05,0.290312186981456,0.290312186981456
incongruency,STSvp_L,0.029152735797064,0.000840795822115936,0.029152735797064
incongruency,STSvp_R,0.00101044647226267,0.0595013998144296,0.0595013998144296
incongruency,STV_L,0.0382507139831301,0.00171892875484581,0.0382507139831301
incongruency,STV_R,0.0224420186141146,0.000840795822115936,0.0224420186141146
incongruency,TA2_L,2.9371128571043e-05,0.223544059611816,0.223544059611816
incongruency,TA2_R,0.00312995000869165,0.00922975698965623,0.00922975698965623
incongruency,TE1a_L,0.00171892875484581,0.0571520022522751,0.0571520022522751
incongruency,TE1a_R,0.000438501940241309,0.100658045791683,0.100658045791683
incongruency,TE1m_L,0.00500295097881143,0.0153964245852336,0.0153964245852336
incongruency,TE1m_R,8.36135828237161e-05,0.267074501208915,0.267074501208915
incongruency,TE1p_L,0.00112641964097016,0.046463109346826,0.046463109346826
incongruency,TE1p_R,0.00654478885404686,0.0142382921514805,0.0142382921514805
incongruency,TE2a_L,0.00154930630146488,0.0179515305423657,0.0179515305423657
incongruency,TE2a_R,0.00824535301051555,0.00635526263057074,0.00824535301051555
incongruency,TE2p_L,0.0118190337288002,0.0100327070881718,0.0118190337288002
incongruency,TE2p_R,0.00470697277992827,0.0265447466414983,0.0265447466414983
incongruency,TF_L,0.000533304643973054,0.0921108416106105,0.0921108416106105
incongruency,TF_R,0.000512979310913764,0.0954641423893481,0.0954641423893481
incongruency,TGd_L,0.0106005893104442,0.0084825695874784,0.0106005893104442
incongruency,TGd_R,0.029152735797064,0.00210857644920814,0.029152735797064
incongruency,TGv_L,0.00210857644920814,0.0454872536963169,0.0454872536963169
